"","MCH","OCT","ACP","BEN","MBL","IPA","HXA","OIL"
"ac1A",NA,NA,NA,0.0762992149459628,0.128653065912446,NA,0.106570106886105,0.0648906947967429
"ac1B",NA,NA,NA,0.152531009051291,0.0392222594703319,NA,0.100234663090848,0.108950720750922
"ac2A",NA,NA,NA,0.0658042087221692,0,NA,0.0349164488793721,0.0678532322591857
"ac2B",NA,NA,NA,0.0531708667959014,0.0177236222653005,NA,0.0531708667959014,0.0856641742822856
"ac3A",NA,NA,NA,0.106280260771848,0.045201353901343,NA,0.105011317820329,0.0800035096747026
"ac3B",NA,NA,NA,0.389644203631574,0.717258706901659,NA,0.69649529547285,0.025258324213617
"ac4",0.0296280572140364,0.0725210677131388,0.0654361785436597,0.111317718064992,0.0771084503112705,0.100860624391055,0.14104320758561,0.0879686090198937
"Or1a",NA,0.127946127946128,0.031986531986532,0.085297418630752,NA,0.0675271230826786,NA,0.0142162364384587
"Or2a",NA,0.180975442441156,0.0449796607897817,0.0554172668805724,0.126018228550238,0.234062009488797,0.123234561565712,0
"Or7a",0.0854401889271052,0.057294200509859,0.133687123317334,0.576183066800948,0.240409867817425,0.0587484385986058,0.0444279162923982,0.0714568858140974
"Or9a",NA,NA,0.249008250761118,0.291932724302794,0.329123259150995,0.415170801214587,0.203539311067509,0.0616238630437575
"Or10a",0.182335725095656,0.169727859499921,0.689084719331821,0.273735022238986,0.0772563854019236,0.471134641804191,0.0380109841042308,0.0666077638660496
"Or13a",0.157418357276083,0.658400874807494,0.0995015945658804,0.104765300050939,0.140206819345982,0.225964602442086,0.411017014086948,0.160062398097785
"Or19a",0.0517759403323907,0.473859077540008,0.106014772166008,0.153474460798289,0.270552391727975,0.338540790539471,0.211556125805158,0.0397238997452612
"Or22a",0.33825534686507,0.421824458898445,0.137223199974113,0.182588449662252,0.29961032285316,0.563130817663099,0.38727443283682,0.0579337176270748
"Or22b",NA,NA,NA,NA,NA,NA,NA,0
"Or22c",NA,NA,NA,NA,NA,NA,NA,NA
"Or23a",NA,NA,0.00643887128063574,0.00858516170751432,0.175865364120799,0.117841749774125,0.0236091946956644,0.00870507742746736
"Or24a",NA,NA,NA,NA,NA,NA,NA,NA
"Or30a",NA,0.0347152940836112,0.375291846898051,0.597181027069249,NA,0.0262310486881822,NA,0.0264113176384928
"Or33a",NA,0.0298540965207632,0.0255892255892256,0.0127946127946128,NA,0.042648709315376,NA,0.0170594837261504
"Or33b",NA,0.0199047572992332,0.02856753767531,0.0437348143517324,0.15182627196898,0.0327076123429441,0.0815638784195914,0.0776179876304993
"Or33c",NA,0.198754040246064,NA,0.195495777291211,NA,0.221561880930039,NA,0.0456156813679491
"Or35a",NA,0.515687260761257,0.0561880288661635,0.308675586941626,0.746889120415067,0.127095515413397,0.700448503179707,0.0521530366695725
"Or42a",0.142679440244334,0.176166804484979,0.202285291357459,0.137744167004738,NA,0.355567064514112,NA,0.100737741560706
"Or42b",0.0400534157598057,0.114245591783558,0.0648179483248597,0.100253378148429,0.0340529910355662,0.234910953147823,0.106024509535877,0.098614751214843
"Or43a",NA,NA,0.231214886144485,0.229446943118861,0.284803929404402,0.163333812104399,0.0812260188180124,0.0560088978271558
"Or43b",NA,NA,0.0332973645862552,0.151547100813169,0.249873627633195,0.416382849199366,0.086187411214224,0.03789993081602
"Or45a",NA,0.251791276325885,0.179554023599982,0.119709094093067,NA,0.202468764804679,NA,0.0169879310236985
"Or45b",NA,0.0435386789828396,0.922781560754942,0.777292778288928,NA,0.0164311221644794,NA,0.017675272309057
"Or46a",NA,0.000383691987029055,NA,0.145725182492232,NA,0.0342392372946749,NA,0.0700230562196023
"Or47a",NA,0.520009730616517,0.1565405441834,0.113236357618768,0.104856640852969,0.466836480667641,0.666080513568721,0.0408295010792228
"Or47b",0.209280936234345,0.138227655335011,0.182644041293076,0.128947632586571,0.0991732573443123,0.0355300997067185,0.11255165829545,0.206159723335033
"Or49a",NA,0.115106532093369,0.024902433324591,0.00702240849997362,NA,0.104649211454063,NA,0.00312718687281425
"Or49b",0.0779896848403772,0.0779896848403772,0.117071920611822,0.135220740469237,0.0800970992312897,0.0747090132473866,0.0538853508417014,0.0306468937761629
"Or59a",NA,0.131689131792421,0.270847240932024,0.0441913347516434,NA,0.0710536309426683,NA,0.00413038671955589
"Or59b",0.0542664279139335,0.0460808480667164,0.0197829010127339,0.0281018769327448,0.0668684859478996,0.10147407237413,0.10489451928047,0.0323644553790377
"Or59c",NA,0.239471659661079,NA,0.0529502210511303,NA,0.128991693833532,NA,0.0345992146249056
"Or65a",NA,NA,0.0969145695011672,0.0201432565752158,0.0561359132303256,0.090976435845002,0.177305733320572,0.0308738217601803
"Or67a",NA,0.343850762838618,0.453083419641627,0.469880388831481,0.153246893224165,0.360131444510711,0.121479844814755,0.00421729967874576
"Or67b",0.92648550672136,0.174246311647343,0.994040252782664,0.745567562306808,0.51336148802202,0.14817781741734,0.135074897150063,0.115594800409267
"Or67c",0.0709990086242188,0.0709990086242188,0.074763768711421,0.037148188308321,0.104747608228263,0.083791441526787,0.0177350707747233,0.0518278523823006
"Or67d",NA,NA,NA,NA,NA,NA,NA,NA
"Or71a",0.113798225345937,0.0400458712851348,0.0815672507569539,0.0556103043162239,0.0999451828051077,0.0590988966805313,NA,0.0618813637504645
"Or74a",NA,0.0685722890353315,0.0446077391780271,0.113239685664345,NA,0.165428481080033,NA,0.0183529812650732
"Or82a",0.0502461920250091,0.0813243990333552,0.0251928723396392,0.0362210847176618,0.10927693766072,0.0824142830034166,0.0788829256477657,0.0363753680334409
"Or85a",NA,NA,0,0.0701119011685374,0.0174633398671594,0.0157170058804434,0.027941343787455,0.043478471324981
"Or85b",0.144672163784542,0.741226617328438,0.106871898235139,0.134621238664176,0.126983421536749,0.402050964384191,0.118110741659148,0.182583413450069
"Or85c",NA,0.875065135481802,0,0.0996440103620526,NA,0.614246777536081,NA,0.0842554197626668
"Or85d",NA,0.415670977421809,NA,0.142540651186891,NA,0.360363273398074,NA,0.0637632736497055
"Or85e",NA,0.148550724637681,NA,0.264492753623188,NA,0.264492753623188,NA,0.0398550724637681
"Or85f",NA,NA,0.287436138034034,0.163248028512017,0.152533354890695,0.113504053578724,0.041419000984427,0
"Or88a",NA,NA,0.0313907898095472,0.0500355543814927,0.0645370379374503,0.0541788353974806,0.0624653974294564,0.10330324022884
"Or92a",0.0152994931895248,0.0149395024784077,0.0198720355047079,0.0420158695999001,0.0167943726432851,0.0198720355047079,0.0119997990939109,0.0367292477933983
"Or94a",NA,0.0210598903720362,0.173897534669597,0.124089994971634,NA,0,NA,0.0285498139889113
"Or94b",NA,0.142076269005286,0.12945021284721,0.0397424267633534,NA,0.0863728905395679,NA,0.0110129910026169
"Or98a",0.0998952403585685,0.607306994991386,0.222863702327168,0.143418840283693,0.0783619089980014,0.654379766611555,0.257659128414795,0.0220898417509551
"Gr21a.Gr63a",NA,0.129622479401401,0.224450440562671,0.224450440562671,NA,0.158048578912654,NA,0.143178815839841
"ab2B",0.0210087421599029,0.0432284609109338,0.0166192991052918,0.0122779282642706,0.0231034564294396,0.0386259216257699,0.00534476984620608,0.00905821091652971
"ab4B",0.339176173367663,0.305927684033243,0.0211291170988857,0.022954867015244,0.0218377107403461,0.30504718363697,0.0254772830841759,0.034790537732371
"ab5B",0.023328993301612,0.238196202915044,0.0479867730424158,0.040921908312936,0.0479867730424158,0.317919650465607,NA,0.0552650540733368
"pb2A",NA,NA,NA,NA,NA,NA,NA,NA
"Or69a",0.635135135135135,0.740786240786241,NA,0.146191646191646,0.343058968058968,NA,0.508599508599509,0.226044226044226
"ac1",0.290872998171031,0.216799750189588,0.298099656510684,0.247513048133113,0.288163001293661,0.249319712718026,0.323392960699469,0.257240130258286
"ac2",0.146938775510204,0.23265306122449,0.26530612244898,0.138775510204082,0.178061224489796,0.144897959183673,0.287755102040816,0.286620408163265
"ac3_noOr35a",0.0943712582395334,0.155188291327233,0.163576847615191,0.132119761535347,0.140508317823305,0.152042582719248,0.182451099263098,0.165577518289869
"Ir31a",NA,NA,NA,NA,NA,NA,NA,0.11104839757639
"Ir41a",NA,NA,NA,NA,NA,NA,NA,0.155006275725315
"Ir75a",NA,NA,NA,NA,NA,NA,NA,0.103712199229567
"Ir75d",NA,NA,NA,NA,NA,NA,NA,0
"Ir76a",NA,NA,NA,NA,NA,NA,NA,0.0377060426182221
"Ir84a",NA,NA,NA,NA,NA,NA,NA,0.163315313808611
"Ir92a",NA,NA,NA,NA,NA,NA,NA,0.0379152454401636
"Ir64a.DC4",NA,NA,NA,NA,NA,NA,NA,0.258500376274201
"Ir64a.DP1m",NA,NA,NA,NA,NA,NA,NA,0.0449057097613656
"ac1BC",NA,NA,NA,0.0174611973392461,NA,NA,NA,0.0252217294900222
"ac2BC",NA,NA,NA,0.0244339314354096,NA,NA,NA,0.0210244663638391
"Or83c",0.15668202764977,0.124423963133641,NA,0.276497695852535,0.230414746543779,0.0921658986175115,0.138248847926267,NA
